,0,chem_acts,chem_moieties,chem_struct,chem_synonyms,chem_targets,compound,database_id,evidence,mass_spec_ion_type,mol_mass,molecular_formula
0,,,,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,,,aflatoxin,['pubchem:14421'],,,328.058302724,C17H12O7
0,,,,[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC1=C(C(O)=CC=C1)C2=O,,,sterigmatocystin,"['npatlas:5925', 'pubchem:5280389']",,,324.063388104,C18H12O6
0,,,,CCC(C)/C=C(\C)/CCCC(C)/C=C(\C)/C=C(\C)/CC(C)C1=C(C(=C(C(=O)O1)C)O)C,,,alternapyrone,['pubchem:57467994'],,,428.3290452679999,C28H44O3
0,,,,CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O,,,alternariol,['pubchem:5359485'],,,258.05282342000004,C14H10O5
0,,,,CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C,,,ambruticin,['pubchem:6918547'],,,474.2981390639999,C28H42O6
0,,['Antifungal'],,C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,,,amphotericin B,['pubchem:5386092'],,,923.4878498760003,C47H73NO17
0,,['Neurotoxic'],,CC(=O)C1=CCC[C@@H]2CC[C@H]1N2,,[{'target': 'Nicotinic acetylcholine receptor'}],anatoxin-a,['pubchem:3034748'],,,165.1153641,C10H15NO
1,,['Neurotoxic'],,CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2,,[{'target': 'Nicotinic acetylcholine receptor'}],homoanatoxin-a,['pubchem:126727'],,,179.131014164,C11H17NO
0,,,,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC,,,angolamycin,['pubchem:6438267'],,,915.519150004,C46H77NO17
0,,,,CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC,,,angolamycin,['pubchem:6438267'],,,915.519150004,C46H77NO17
0,,,,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)[C@H](C)N(C)C(=O)C)C)\C)OC)(NC(=O)O2)O,,,maytansine,['pubchem:5281828'],,,691.2871723520001,C34H46ClN3O10
1,,,,C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\C)OC)(NC(=O)O2)O,,,ansamitocin P-3,,,,634.2657086359999,C32H43ClN2O9
0,,,,COC[C@@H](C[C@H]1O[C@@](O)([C@H](O)[C@@H]2C[C@H](OC)[C@@H](O)CC\C=C(/C)\C=C\[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)\C=C(/C)\C=C(/C)\C=C(C)\C(=O)O2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1,,,apoptolidin,"['npatlas:13146', 'pubchem:44403674']",,,1128.644410092,C58H96O21
0,,,,CCC(C)C=C(C)C=CC(=O)C1=C2CC(O)C(C)(O)C(=O)C2=CO1,,,asperfuranone,['npatlas:10580'],,,332.162373868,C19H24O5
0,,"['Antifungal', 'Cytotoxic']",,CC(C)C\C=C(/C)[C@H](O)[C@H](C)\C=C\C=C/[C@@H](O)CC1=C(C)C(=O)C(C)(O)O1,,[{'target': 'cholesterol biosynthesis'}],aurafuron A,['npatlas:1119'],,,378.2406241879999,C22H34O5
0,,"['Antibacterial', 'Antifungal', 'Cytotoxic', 'insecticide']","[{'moiety': 'para-nitrobenzoate', 'subcluster': ['CAE02603.1', 'CAE02601.1']}]",CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2,,,aureothin,"['pubchem:6436188', 'chemspider:5029106']",,,397.15253745599995,C22H23NO6
0,,,,CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,,,avermectin,['pubchem:6858006'],,,872.492206984,C48H72O14
0,,['Antibacterial'],"[{'moiety': 'Orsellinic acid', 'subcluster': ['AAK83178.1', 'AAK83194.1']}]",C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)C1C([C@@]([C@H](O9)C)(C(=O)C)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C,"['2,3-deoxy-Flambamycin', 'A-23575', '72000-71-6', 'AC1L3V8O', 'AC1Q5C6R', 'KST-1A7824', 'AR-1A2994', 'LS-89288']",[{'target': '50S ribosomal subunit'}],avilamycin A,"['pubchem:122779', 'chemspider:16735687']",,,1402.463576016,C61H88Cl2O32
1,,['Antibacterial'],"[{'moiety': 'Orsellinic acid', 'subcluster': ['AAK83178.1', 'AAK83194.1']}]",C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C,"['SCHEMBL6753731', '69787-80-0']",[{'target': '50S ribosomal subunit'}],avilamycin C,"['pubchem:20055307', 'chemspider:16736581']",,,1404.47922608,C61H90Cl2O32
0,,,,CCCCCCCC(=O)C1C2CC3=C(COC(\C=C\C)=C3)C(=O)C2(C)OC1=O,,,ankaflavin,"['npatlas:5638', 'pubchem:15294091']",,,386.2093240599999,C23H30O5
1,,,,[H]\C(C)=C(\[H])C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(=O)CCCCC)[C@@]1([H])C2,,,monascin,"['npatlas:9686', 'pubchem:12118082']",,,358.17802393200003,C21H26O5
2,,,,CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C,,,rubropunctatine,['npatlas:17529'],,,354.146723804,C21H22O5
3,,,,CCCCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C,,,monascorubrin,"['npatlas:2306', 'pubchem:12118084']",,,382.1780239319999,C23H26O5
0,,"['Antibacterial', 'Antifungal', 'antineoplastic, immunosuppressive']",,COC1\C=C\C=C(C)\CC(C)C(O)C(C)\C=C(/C)\C=C(OC)\C(=O)OC1C(C)C(O)C(C)C1(O)CC(OC(=O)\C=C\C(=O)NC2=C(O)CCC2=O)C(C)C(O1)C(C)C,,,bafilomycin B1,['npatlas:2171'],,,815.4455911399999,C44H65NO13
0,,['Cytotoxic'],,CCC\C=C\CC1C\C=C\C=C(/C)\C=C\C=C/C(O)C(O)\C=C(/C)\C=C\C=C\C(=O)N1,,,BE-14106,"['npatlas:17806', 'pubchem:6439426']",,,423.277344044,C27H37NO3
0,,,,CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C4C(=C3O)C(=O)C=C(C4=O)OC)O)OC,,,bikaverin,['pubchem:5281730'],,,382.0688674079999,C20H14O8
0,,"['Antibacterial', 'Cytotoxic']",,[H][C@]1(CCC[C@H]1C(O)=O)[C@]1([H])C\C=C\C=C(C#N)/[C@H](O)[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O1,['Treponemycin'],[{'target': 'Threonyl-tRNA synthetase'}],borrelidin,['npatlas:11087'],,,489.30903809599994,C28H43NO6
0,,,,[H][C@@](C)(C(=O)C1=CC=CN1)[C@@]1([H])O[C@@]2(CC[C@@H](C)[C@@]([H])(CC3=NC4=C(O3)C=CC(NC)=C4C(O)=O)O2)[C@H](C)C[C@H]1C,,,A23187,['npatlas:3386'],,,523.2682359039999,C29H37N3O6
0,,,,CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\C#C[C@]\4(CC(=O)C(=C3/C4=C\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O,,,calicheamicin,['pubchem:6438329'],,,1367.2742383879997,C55H74IN3O21S4
0,,,,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O,,,candicidin,['pubchem:6445669'],,,1108.5719138480003,C59H84N2O18
0,,,,CO[C@@H]1C[C@H](C)O[C@H](OC2C(C)CC(C)(O)C(=O)\C=C\C3OC3C(CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)C(C)OC(=O)\C=C\C2C)[C@H]1O,,,chalcomycin A,['npatlas:4454'],,,700.367006472,C35H56O14
0,,['Antibacterial'],"[{'moiety': '6-methylsalicylic acid', 'subcluster': ['chlb1', 'chlb2', 'chlb3', 'chlb4', 'chlb5', 'chlb6']}]",C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C(Cl)=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O,['chl'],[{'target': 'Pyruvate biosynthesis'}],chlorothricin,,,,940.3648135520001,C49H61ClO16
1,,['Antibacterial'],,C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O,['deschl'],[{'target': 'Pyruvate biosynthesis'}],deschlorothricin,,,,906.4037859040001,C49H62O16
0,,,,CC1=C(C=C2C(=C1OC)CNC2=O)O,,,cichorine,['pubchem:442849'],,,193.073893212,C10H11NO3
0,,,,C/C=C/C(=O)/C/1=C/C(=C\2/C=CCCN2)/SC[CH](C(=O)O1)NC(=O)C,,,coelimycin P1,['chemspider:27475147'],,,348.11437811999997,C17H20N2O4S
0,,,,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12,,,compactin,"['npatlas:18102', 'pubchem:64715']",,,408.2511888719999,C23H36O6
0,,,,[H][C@@]1(OC(=O)\C(OC)=C\C(\C)=C\[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@H](C)C\C(C)=C\C=C\[C@@H]1OC)[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O[C@H]2C[C@@H](O)[C@H](OC(N)=O)[C@@H](C)O2)[C@H](C)[C@H](O1)\C=C\C,,,concanamycin A,"['npatlas:14456', 'pubchem:6917059']",,,865.51875608,C46H75NO14
0,,,,[H][C@]12CCC(=O)[C@@]1([H])C[C@@H](CC)C=C2C(O)=O,,,oronofacic acid,['npatlas:13714'],,,208.109944372,C12H16O3
0,,,,CCCCCCC1CC(=O)CCCC(O)C\C(O)=C2/C(CC(O[C@H]3C[C@H](OC)[C@H](O)[C@@H](C)O3)C2=O)\C=C(/C)\C=C/C=C\C(=O)N1,,,cremimycin,"['npatlas:15915', 'pubchem:6449106']",,,631.3720322759998,C35H53NO9
0,,,,CO[C@H](CC\C(C)=C\C=C\CC\C=C/[C@H]1CSC(=N1)[C@@H]1C[C@@H]1C)CC=C,,,curacin A,"['npatlas:3438', 'pubchem:6438908']",,,373.24393574000004,C23H35NOS
0,,,,C\C=C/C(/C)=C/C=C/C(/C)=C/C=C/C(/C)=C/C(C)\C=C(/C)C(O)C(C)C(C)OC(C)=O,,,dawenol,['npatlas:16469'],,,426.3133952039999,C28H42O3
0,,,,CC1CCC\C=C\C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1,,,dehydrocurvularin,"['npatlas:4907', 'pubchem:6438143']",,,290.115423676,C16H18O5
0,,['Inhibitor'],,C[C@@H](O)[C@@H]1O[C@H]1\C=C\[C@@H]1O[C@H]1[C@H](O)C=C,,[{'target': 'Histone deacetylase (HDAC)'}],depudecin,"['npatlas:1465', 'pubchem:6438725', 'chebi:64143', 'chemspider:21169370']",,,212.104858992,C11H16O4
0,,,,C[C@H]1C[C@H](C(=O)CCCC[C@H]([C@H](OC(=O)/C=C/[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)OC)O)C)C)O[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)C)O)OC)OC)C,,,"10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin",['pubchem:102274629'],,,658.3928272960001,C34H58O12
0,,,,C1[C@@H](O[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O,,,dothistromin,['pubchem:108014'],,,372.0481319639999,C18H12O9
0,,,,C\C=C(/C)C(O)C(C)\C=C\C=C(/C)CCC(O)CC1=C(C)C(=O)C(C)(O)O1,,,E-837,"['npatlas:6280', 'pubchem:11494615']",,,378.2406241879999,C22H34O5
0,,,,CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O,,,ebelactone A,['pubchem:6436820'],,,338.24570956799994,C20H34O4
1,,,,CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C,,,ebelactone B,['pubchem:6436821'],,,352.26135963199994,C21H36O4
0,,,,C[C@H](\C=C\CC\C=C\C=C\C=C\C=C\C(=O)NC1=C(O)CCC1=O)C(O)[C@@H](C)C(O)\C=C\C=C\C=C\C=C\C=C\CC(OC1OC(C)C(O)C(O)C1O)C(C)C(=O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CCCN,,,ECO-02301,"['npatlas:3626', 'pubchem:23724554']",,,1296.7495438560002,C70H108N2O20
0,,,,CC[C@H]1[C@@H](C[C@](O[C@@H]1C)(O)[C@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C/C=C/[C@@H]([C@H](OC(=O)/C=C/C=C/[C@@H]2C)[C@H]([C@@H](O)[C@@H]([C@@]3(O[C@@H]([C@H]([C@@H](C3)O[C@@H]4O[C@H]([C@H]([C@H](C4)O)O)C)CC)C)O)C)C)C)C)C)O[C@@H]5O[C@H]([C@H]([C@H](C5)O)O)C,,,elaiophylin,['pubchem:6444206'],,,1024.5970659760003,C54H88O18
0,,,,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,,,erythromycin,['pubchem:12560'],,,733.4612412040001,C37H67NO13
0,,"['Antibacterial', 'Inhibitor']",,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,"['abomacetin', 'erythromycin']",[{'target': 'Bacterial 70S ribosome'}],erythromycin A,"['pubchem:12560', 'chebi:42355', 'chembl:532', 'chemspider:12041']","['NMR', 'Mass spectrometry', 'X-ray', 'Chemical derivatization', 'Total synthesis']",,733.4612412040001,C37H67NO13
1,,"['Antibacterial', 'Inhibitor']",,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,['berythromycin'],[{'target': 'Bacterial 70S ribosome'}],erythromycin B,"['npatlas:15585', 'pubchem:10702', 'chebi:28196', 'chembl:3220708', 'chemspider:16736538']","['NMR', 'Mass spectrometry', 'Chemical derivatization', 'Total synthesis']",,717.466326584,C37H67NO12
2,,"['Antibacterial', 'Inhibitor']",,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,,[{'target': 'Bacterial 70S ribosome'}],erythromycin C,"['npatlas:9987', 'pubchem:441095', 'chebi:64273', 'chemspider:75735']","['NMR', 'Mass spectrometry']",,719.44559114,C36H65NO13
3,,"['Antibacterial', 'Inhibitor']",,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C,,[{'target': 'Bacterial 70S ribosome'}],erythromycin D,"['pubchem:24755489', 'chebi:28331', 'chemspider:21864912']","['NMR', 'Mass spectrometry']",,703.45067652,C36H65NO12
0,,,,CC1C(C(C(C(O1)OC2C#C/C=C/C#CC\3(C(C(=O)C(=C2/C3=C/CSSSC)NC(=O)OC)OC4CC(C(C(O4)C)O)OC(=O)C5=CC(=C(C=C5NC(=O)C(=C)OC)OC)OC)O)OC6CC(C(CO6)NC(C)C)OC)O)NOC7CC(C(C(O7)C)SC)O,,,esperamicin,['pubchem:71308195'],,,1324.4147041999997,C59H80N4O22S4
0,,['Inhibitor'],,CC1=CC2=C(C(=C1)O)OC3=C(O2)C4(C5C(=CC(=O)C5(C(=O)C4=C(C3=O)O)O)C)C,,[{'target': 'inhibitor of cathepsin K'}],F9775A,['pubchem:9843671'],,,396.0845174719999,C21H16O8
1,,['Inhibitor'],,CC1=CC2=C(C(=C1)O)OC3=C(O2)C(=O)C(=C4C3(C5C(=CC(=O)C5(C4=O)O)C)C)O,,[{'target': 'inhibitor of cathepsin K'}],F9775B,['pubchem:25235989'],,,396.0845174719999,C21H16O8
2,,,,CC1=CC(=CC(=C1C(=O)O)O)O,"['orsellic acid', 'o-orsellinic acid', 'orcinolcarboxylic acid', 'benzoic acid']",,orsellinic acid,['pubchem:68072'],,,168.042258736,C8H8O4
0,,,,[H][C@]12O[C@@H]1[C@H](O)[C@H](C)\C=C(/C)\C=C(C)\C(=O)O[C@@]([H])(C\C=C\C=C\C[C@H]2O)[C@@H](C)CCC(O)C(C)C(O)C(C)C(C)OC,,,FD-891,"['npatlas:7258', 'pubchem:6444177']",,,578.3818686879999,C33H54O8
0,,,,CCCCC[C@H]([C@@H]1[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@H](C[C@@H](/C(=C/C=C/C=C/C=C/C=C/[C@@H]([C@H](OC1=O)C)O)/C)O)O)O)O)O)O)O)O,,,filipin,['pubchem:6433194'],,,654.397912676,C35H58O11
0,,,,C[C@@](/C=C/[C@@H]1CC=CC(=O)O1)([C@@H](C[C@H](/C=C\C=C/C=C/CO)O)OP(=O)(O)O)O,,,fostriecin,['pubchem:6436285'],,,430.13926907399986,C19H27O9P
0,,,,C[C@H]1/C=C/C=C/C=C\C=C/C=C/C=C/C=C/[C@@H](C[C@@H]([C@@H]([C@H](CC(=O)C[C@H](C[C@H](C[C@H](CC(=O)CCCC(CC(=O)O[C@@H]1[C@@H](C)C[C@H](C)[C@H](CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)O)C(=O)O)O)O[C@H]3[C@H]([C@H]([C@@H]([C@H](O3)C)O)N)O,"['FR-008I', '58591-23-4']",,levorin A3,['pubchem:118984420'],,,1110.5875639120002,C59H86N2O18
1,,,,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC\2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(/C=C/C=C/C=C/C=C/C=C/C=C/C=C2)C)C(C)CC(C)C(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)C(=O)O)O)N)O,"['FR-008-III', 'CPD-13108', 'DAP001325', 'CID6474902', 'Candicidin, Antibiotic for Culture Media Use Only', 'W-108206', '(4E,6E,8E,10E,12E,14E,16E)-3-[(3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyl-tetrahydropyran-2-yl]oxy-19-[6-(4-aminophenyl)-4-hydroxy-1,3-dimethyl-6-oxo-hexyl]-29,31,33,35,37-pentahydroxy-18-methyl-21,23,27-trioxo-20,39-dioxabicyclo[33.3.1]nonatriaconta-4,6,8,10,12,14,16-heptaene-38-carboxylic acid']",,C06690,['pubchem:11953885'],,,1108.5719138480001,C59H84N2O18
2,,,,C[C@@H]1[C@H]([C@@H]([C@@H]([C@@H](O1)OC/2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(/C=C\C=C/C=C\C=C/C=C\C=C/C=C2)C)C(C)CC(C)C(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)C(=O)O)O)N)O,,,FR-008-III,['pubchem:101492346'],,,1108.5719138480001,C59H84N2O18
3,,,,C[C@@H]1[C@H]([C@@H]([C@@H](C(O1)OC2CC3C(C(CC(O3)(CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC(C(C=CC=CC=CC=CC=CC=CC=C2)C)C(C)CC(C)C(CC(=O)C4=CC=C(C=C4)N)O)O)O)O)O)O)C(=O)O)O)N)O,"['FR-008-III', 'AC1L9AML', '3-[(3S,4S,5S,6R)-4-amino-3,5-dihydroxy-6-methyloxan-2-yl]oxy-19-[7-(4-aminophenyl)-5-hydroxy-4-methyl-7-oxoheptan-2-yl]-29,31,33,35,37-pentahydroxy-18-methyl-21,23,27-trioxo-20,39-dioxabicyclo[33.3.1]nonatriaconta-4,6,8,10,12,14,16-heptaene-38-carboxylic acid']",,candicidin A,['pubchem:441142'],,,1108.5719138480001,C59H84N2O18
