,,0,chem_acts,chem_moieties,chem_struct,chem_synonyms,chem_targets,compound,database_id,evidence,mass_spec_ion_type,mol_mass,molecular_formula
42,0,,,,C\C=C/C(/C)=C/C=C/C(/C)=C/C=C/C(/C)=C/C(C)\C=C(/C)C(O)C(C)C(C)OC(C)=O,,,dawenol,['npatlas:16469'],,,426.3133952039999,C28H42O3
42,1,mibig_json_2.0/BGC0000044.json,,,,,,,,,,,
43,0,,,,CC1CCC\C=C\C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1,,,dehydrocurvularin,"['npatlas:4907', 'pubchem:6438143']",,,290.115423676,C16H18O5
43,1,mibig_json_2.0/BGC0000045.json,,,,,,,,,,,
44,0,,['Inhibitor'],,C[C@@H](O)[C@@H]1O[C@H]1\C=C\[C@@H]1O[C@H]1[C@H](O)C=C,,[{'target': 'Histone deacetylase (HDAC)'}],depudecin,"['npatlas:1465', 'pubchem:6438725', 'chebi:64143', 'chemspider:21169370']",,,212.104858992,C11H16O4
44,1,mibig_json_2.0/BGC0000046.json,,,,,,,,,,,
45,0,,,,C[C@H]1C[C@H](C(=O)CCCC[C@H]([C@H](OC(=O)/C=C/[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)OC)O)C)C)O[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)C)O)OC)OC)C,,,"10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin",['pubchem:102274629'],,,658.3928272960001,C34H58O12
45,1,mibig_json_2.0/BGC0000047.json,,,,,,,,,,,
46,0,,,,C1[C@@H](O[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O,,,dothistromin,['pubchem:108014'],,,372.0481319639999,C18H12O9
46,1,mibig_json_2.0/BGC0000048.json,,,,,,,,,,,
47,0,,,,C\C=C(/C)C(O)C(C)\C=C\C=C(/C)CCC(O)CC1=C(C)C(=O)C(C)(O)O1,,,E-837,"['npatlas:6280', 'pubchem:11494615']",,,378.2406241879999,C22H34O5
47,1,mibig_json_2.0/BGC0000050.json,,,,,,,,,,,
48,0,,,,CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O,,,ebelactone A,['pubchem:6436820'],,,338.24570956799994,C20H34O4
48,1,,,,CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C,,,ebelactone B,['pubchem:6436821'],,,352.26135963199994,C21H36O4
48,2,mibig_json_2.0/BGC0000051.json,,,,,,,,,,,
49,0,,,,C[C@H](\C=C\CC\C=C\C=C\C=C\C=C\C(=O)NC1=C(O)CCC1=O)C(O)[C@@H](C)C(O)\C=C\C=C\C=C\C=C\C=C\CC(OC1OC(C)C(O)C(O)C1O)C(C)C(=O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CCCN,,,ECO-02301,"['npatlas:3626', 'pubchem:23724554']",,,1296.7495438560002,C70H108N2O20
49,1,mibig_json_2.0/BGC0000052.json,,,,,,,,,,,
50,0,,,,CC[C@H]1[C@@H](C[C@](O[C@@H]1C)(O)[C@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C/C=C/[C@@H]([C@H](OC(=O)/C=C/C=C/[C@@H]2C)[C@H]([C@@H](O)[C@@H]([C@@]3(O[C@@H]([C@H]([C@@H](C3)O[C@@H]4O[C@H]([C@H]([C@H](C4)O)O)C)CC)C)O)C)C)C)C)C)O[C@@H]5O[C@H]([C@H]([C@H](C5)O)O)C,,,elaiophylin,['pubchem:6444206'],,,1024.5970659760003,C54H88O18
50,1,mibig_json_2.0/BGC0000053.json,,,,,,,,,,,
51,0,,,,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,,,erythromycin,['pubchem:12560'],,,733.4612412040001,C37H67NO13
51,1,mibig_json_2.0/BGC0000054.json,,,,,,,,,,,
52,0,,"['Antibacterial', 'Inhibitor']",,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,"['abomacetin', 'erythromycin']",[{'target': 'Bacterial 70S ribosome'}],erythromycin A,"['pubchem:12560', 'chebi:42355', 'chembl:532', 'chemspider:12041']","['NMR', 'Mass spectrometry', 'X-ray', 'Chemical derivatization', 'Total synthesis']",,733.4612412040001,C37H67NO13
52,1,,"['Antibacterial', 'Inhibitor']",,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,['berythromycin'],[{'target': 'Bacterial 70S ribosome'}],erythromycin B,"['npatlas:15585', 'pubchem:10702', 'chebi:28196', 'chembl:3220708', 'chemspider:16736538']","['NMR', 'Mass spectrometry', 'Chemical derivatization', 'Total synthesis']",,717.466326584,C37H67NO12
52,2,,"['Antibacterial', 'Inhibitor']",,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,,[{'target': 'Bacterial 70S ribosome'}],erythromycin C,"['npatlas:9987', 'pubchem:441095', 'chebi:64273', 'chemspider:75735']","['NMR', 'Mass spectrometry']",,719.44559114,C36H65NO13
52,3,,"['Antibacterial', 'Inhibitor']",,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C,,[{'target': 'Bacterial 70S ribosome'}],erythromycin D,"['pubchem:24755489', 'chebi:28331', 'chemspider:21864912']","['NMR', 'Mass spectrometry']",,703.45067652,C36H65NO12
52,4,mibig_json_2.0/BGC0000055.json,,,,,,,,,,,
53,0,,,,CC1C(C(C(C(O1)OC2C#C/C=C/C#CC\3(C(C(=O)C(=C2/C3=C/CSSSC)NC(=O)OC)OC4CC(C(C(O4)C)O)OC(=O)C5=CC(=C(C=C5NC(=O)C(=C)OC)OC)OC)O)OC6CC(C(CO6)NC(C)C)OC)O)NOC7CC(C(C(O7)C)SC)O,,,esperamicin,['pubchem:71308195'],,,1324.4147041999997,C59H80N4O22S4
53,1,mibig_json_2.0/BGC0000056.json,,,,,,,,,,,
54,0,,['Inhibitor'],,CC1=CC2=C(C(=C1)O)OC3=C(O2)C4(C5C(=CC(=O)C5(C(=O)C4=C(C3=O)O)O)C)C,,[{'target': 'inhibitor of cathepsin K'}],F9775A,['pubchem:9843671'],,,396.0845174719999,C21H16O8
54,1,,['Inhibitor'],,CC1=CC2=C(C(=C1)O)OC3=C(O2)C(=O)C(=C4C3(C5C(=CC(=O)C5(C4=O)O)C)C)O,,[{'target': 'inhibitor of cathepsin K'}],F9775B,['pubchem:25235989'],,,396.0845174719999,C21H16O8
54,2,,,,CC1=CC(=CC(=C1C(=O)O)O)O,"['orsellic acid', 'o-orsellinic acid', 'orcinolcarboxylic acid', 'benzoic acid']",,orsellinic acid,['pubchem:68072'],,,168.042258736,C8H8O4
54,3,mibig_json_2.0/BGC0000057.json,,,,,,,,,,,
