organism_name,NO,compound
Penicillium aethiopicum,5,griseoxanthone B
Pyxidicoccus fallax,0,gulmirecin A
Streptomyces halstedii,0,halstoctacosanolide A
Streptomyces hygroscopicus,0,herbimycin A
Streptomyces sp. LZ35,0,hygrocin A
Streptomyces sp. LZ35,1,hygrocin B
Hypomyces subiculosus,0,hypothemycin
Hypomyces subiculosus,0,hypothemycin
Streptomyces sp. ML694-90F3,0,incednine
Streptomyces antibioticus,0,X-14547
Sorangium cellulosum,0,jerangolid A
Sorangium cellulosum,1,jerangolid D
Streptoalloteichus sp. ATCC 53650,0,kedarcidin
Actinomadura kijaniata,0,kijanimicin
Streptomyces amphibiosporus,0,lactimidomycin
Streptomyces amphibiosporus,1,"8,9-dihydrolactimidomycin"
Streptomyces amphibiosporus,2,"8-hydroxy-8,9-dihydrolactidomycin"
Streptomyces amphibiosporus,3,17-hydroxy-8-desmethoxy-isomigrastatin
Streptomyces sp. CS684,0,laidlomycin
Streptomyces rochei,0,lankamycin
Streptomyces lasaliensis,0,lasalocid
Streptomyces lasaliensis,0,lasalocid
Aspergillus terreus,0,monacolin K
Actinosynnema pretiosum subsp. pretiosum,0,macbecin
Actinosynnema pretiosum subsp. pretiosum,1,macbecin II
Streptomyces sp. CNQ-617,0,marineosin A
Streptomyces sp. CNQ-617,1,marineosin B
Micromonospora megalomicea subsp. nigra,0,megalomicin A
Micromonospora megalomicea subsp. nigra,1,megalomicin B
Micromonospora megalomicea subsp. nigra,2,megalomicin C1
Micromonospora megalomicea subsp. nigra,3,megalomicin C2
Streptomyces nanchangensis,0,meilingmycin
Streptomyces venezuelae,0,methymycin
Streptomyces mycarofaciens,0,midecamycin
Streptomyces sp. MP39-85,0,ML-449
Monascus pilosus,0,monacolin K
Talaromyces marneffei,0,monascorubrin
Streptomyces cinnamonensis,0,monensin
Aspergillus nidulans FGSC A4,0,emodin
Aspergillus nidulans FGSC A4,1,monodictyphenone
Aspergillus nidulans FGSC A4,2,shamixanthone
Micromonospora griseorubida,0,mycinamicin II
Mycobacterium ulcerans Agy99,0,mycolactone B
Penicillium brevicompactum,0,mycophenolic acid
Streptomyces nanchangensis,0,nanchangmycin
Streptomyces sp. CS,0,naphthomycin A
Aspergillus nidulans FGSC A4,0,naphthopyrone
Streptomyces chattanoogensis,0,natamycin
Streptomyces cyaneogriseus subsp. noncyanogenus,0,LL-F28249α
Streptomyces orinoci,0,spectinabilin
Streptomyces orinoci,1,orinocin
Streptomyces orinoci,2,SNF4435C
Streptomyces orinoci,3,SNF4435D
Streptomyces carzinostaticus,0,neocarzilin A
Streptomyces carzinostaticus,1,neocarzilin B
Streptomyces carzinostaticus subsp. neocarzinostaticus,0,neocarzinostatin
Streptomyces caelestis,0,niddamycin
Streptomyces violaceusniger,0,nigericin
Streptomyces noursei ATCC 11455,0,nystatin A1
Pseudonocardia autotrophica,0,nystatin-like Pseudonocardia polyene
Streptomyces avermitilis,0,oligomycin
Streptomyces pactum,0,pactamycin
Streptomyces pactum,0,7-deoxypactamycin
Penicillium expansum,0,patulin
Pestalotiopsis fici,0,RES-1214-2
Nannocystis pusilla,0,phenylnannolone A
Nannocystis pusilla,1,phenylnannolone B
Nannocystis pusilla,2,phenylnannolone C
Streptomyces sp. HK803,0,phoslactomycin B
Streptomyces piomogenus,0,piericidin A1
Streptomyces natalensis,0,pimaricin
Streptomyces platensis,0,pladienolide B
Pseudomonas protegens Pf-5,0,pyoluteorin
Pseudomonas sp. M18,0,pyoluteorin
Aspergillus fumigatus Af293,0,pyripyropene A
Streptomyces vitaminophilus,0,pyrrolomycin A
Streptomyces vitaminophilus,1,pyrrolomycin B
Streptomyces vitaminophilus,2,pyrrolomycin C
Streptomyces vitaminophilus,3,pyrrolomycin D
Streptomyces sp. UC 11065,0,pyrrolomycin
Streptomyces sp. UC 11065,0,pyrrolomycin
Amycolatopsis orientalis,0,quartromicin A1
Pochonia chlamydosporia,0,radicicol
Streptomyces sp. SN-593,0,reveromycin A
Amycolatopsis mediterranei S699,0,rifamycin
Salinispora arenicola CNS-205,0,rifamycin
Streptomyces diastaticus,0,rimocidin
Streptomyces sp. 88-682,0,4-hexadecanoyl-3-hydroxy-2-(hydroxymethyl)-2H-furan-5-one
Streptomyces achromogenes subsp. rubradiris,0,rubradirin
Salinispora tropica CNB-440,0,salinilactam
Streptomyces albus,0,salinomycin
Streptomyces albus,0,salinomycin
Salinispora tropica,0,salinosporamide A
Alternaria solani,0,solanapyrone D
Sorangium cellulosum,0,soraphen A
Saccharopolyspora spinosa,0,A83543A
Sorangium cellulosum,0,spirangien O
Salinispora tropica CNB-440,0,sporolide A
Salinispora tropica CNB-440,1,sporolide B
Streptomyces ambofaciens ATCC 23877,0,stambomycin A
Streptomyces ambofaciens ATCC 23877,1,stambomycin B
Streptomyces ambofaciens ATCC 23877,2,stambomycin C
Streptomyces ambofaciens ATCC 23877,3,stambomycin D
Aspergillus nidulans,0,sterigmatocystin
Stigmatella aurantiaca Sg a15,0,stigmatellin
Talaromyces stipitatus ATCC 10500,0,stipitatic acid
Aspergillus niger,0,TAN-1612
Aspergillus niger,1,"1-(2,3,5,10-tetrahydroxy-7-methoxy-4-oxo-1,2,3,4-tetrahydroanthracen-2-yl)pentane-2,4-dione"
Aspergillus niger,2,desmethyl TAN-1612
Streptomyces sp. CK4412,0,tautomycetin
Streptomyces griseochromogenes,0,tautomycetin
Streptomyces spiroverticillatus,0,tautomycin
Aspergillus terreus NIH2624,0,terreic acid
Aspergillus terreus NIH2624,0,isoterrein
Micromonospora chalcea,0,tetrocarcin A
Streptomyces longisporoflavus,0,tetronasin
Streptomyces sp. NRRL 11266,0,tetronomycin
Dactylosporangium aurantiacum subsp. hamdenensis,0,tiacumicin B
Streptomyces fradiae,0,tylactone
Streptomyces halstedii,0,vicenistatin
Penicillium aethiopicum,0,viridicatumtoxin
Penicillium aethiopicum,1,previridicatumtoxin
Penicillium aethiopicum,2,5-hydroxyanthrotainin
Penicillium aethiopicum,3,8-O-desmethylanthrotainin
Aspergillus niger ATCC 1015,0,yanuthone D
Streptomyces himastatinicus ATCC 53653,0,9-methylstreptimidone
Brevibacillus laterosporus PE36,0,basiliskamide A
Brevibacillus laterosporus PE36,1,basiliskamide B
Burkholderia gladioli,0,isobongkrekic acid
Burkholderia gladioli,1,bongkrekic acid
Candidatus Endobugula sertula,0,bryostatin
Streptomyces sp. YIM 56141,0,cycloheximide
Bacillus velezensis FZB42,0,difficidin
Streptomyces platensis subsp. rosaceus,0,iso-migrastatin
Streptomyces platensis subsp. rosaceus,1,migrastatin
Streptomyces platensis subsp. rosaceus,2,dorrigocin A
Streptomyces platensis subsp. rosaceus,3,dorrigocin B
Streptomyces platensis subsp. rosaceus,4,13-epi-dorrigocin A
Chitinophaga sancti,0,elansolid A1
Sorangium cellulosum So ce56,0,etnangien
Legionella parisiensis,0,legioliulin
Bacillus velezensis FZB42,0,macrolactin H
Pseudomonas fluorescens,0,pseudomonic acid A
Sorangium cellulosum,0,sorangicin A
Teredinibacter turnerae T7901,0,tartrolon
Burkholderia thailandensis E264,0,thailandamide
Burkholderia thailandensis E264,1,thailandamide lactone
Streptomyces nodosus subsp. asukaensis,0,asukamycin
Cylindrospermopsis raciborskii T3,0,saxitoxin
Cylindrospermopsis raciborskii T3,1,neosaxitoxin
Cylindrospermopsis raciborskii T3,2,decarbamoylsaxitoxin
Cylindrospermopsis raciborskii T3,3,gonyautoxin 3
Cylindrospermopsis raciborskii T3,4,gonyautoxin 2
Xenorhabdus bovienii SS-2004,0,3-(2'-hydroxy-3'-oxo-4'-methylpentyl)-indole
Xenorhabdus bovienii SS-2004,1,3-(2'-hydroxy-3'-oxo-4'-methylhexyl)-indole
Xenorhabdus bovienii SS-2004,2,3-(2'-acetoxy-3'-oxo-4'-methylpentyl)-indole
Xenorhabdus bovienii SS-2004,3,3-(2'-acetoxy-3'-oxo-4'-methylhexyl)-indole
Streptomyces sp. SANK 61196,0,A-74528
Streptomyces galilaeus,0,aclacinomycin
Streptomyces galilaeus,0,aclacinomycin
Streptomyces galilaeus,0,aclacinomycin
Streptomyces coelicolor A3(2),0,actinorhodin
Streptomyces sp. CM020,0,alnumycin A
Streptomyces sp. CM020,1,alnumycin B
Streptomyces sp. CM020,2,alnumycin C
Streptomyces sp. CM020,3,alnumycin P
Streptomyces sp. CM020,4,prealnumycin
Streptomyces sp. CM020,5,thalnumycin A
Streptomyces sp. CM020,6,thalnumycin B
Streptomyces sp. CM020,7,K1115A
Streptomyces sp. CM020,8,"1,6-dihydro-8-propylanthraquinone"
Photorhabdus laumondii subsp. laumondii TTO1,0,AQ-256
Photorhabdus laumondii subsp. laumondii TTO1,1,AQ-270a
Photorhabdus laumondii subsp. laumondii TTO1,2,AQ-284a
Streptomyces echinatus,0,aranciamycin
Salinispora arenicola CNB527,0,arenimycin A
uncultured bacterium,0,arimetamycin B
uncultured bacterium,1,arimetamycin C
uncultured bacterium,2,arimetamycin A
uncultured bacterium,0,arixanthomycin A
uncultured bacterium,1,arixanthomycin B
uncultured bacterium,2,arixanthomycin C
Streptomyces aureofaciens,0,auricin
Kibdelosporangium sp. MJ126-NF4,0,azicemicin B
Amycolatopsis orientalis subsp. vinearia,0,BE-7585A
Streptomyces sp. A2991200,0,benastatin A
Streptomyces sp. A2991200,1,benastatin B
Streptomyces sp. A2991200,2,BE-43767
Streptomyces sp. A2991200,3,TAN1532B
Candidatus Endobugula sertula,0,bryostatin
Streptomyces chartreusis,0,chartreusin
Amycolatopsis sulphurea,0,chelocardin
Kitasatospora aureofaciens,0,chlortetracycline
Streptomyces griseus subsp. griseus,0,chromomycin A3
Streptomyces albaduncus,0,chrysomycin
Streptomyces sp. SPB074,0,cinerubin B
Streptomyces aureus,0,colabomycin E
Streptomyces olindensis,0,cosmomycin B
Streptomyces cyaneus,0,curamycin
Dactylosporangium sp. SC14051,0,dactylocycline A
Streptomyces sp.,0,daunorubicin
Streptomyces peucetius,0,doxorubicin
Streptomyces olivaceus,0,elloramycin
Streptomyces maritimus,0,enterocin
uncultured soil bacterium V167,0,erdacin
Streptomyces sp. TA-0256,0,FD-594
uncultured bacterium BAC AB649/1850,0,rabelomycin
uncultured bacterium BAC AB649/1850,1,dehydrorabelomycin
uncultured bacterium BAC AB649/1850,2,fluostatin F
uncultured bacterium BAC AB649/1850,3,fluostatin G
uncultured bacterium BAC AB649/1850,4,fluostatin H
Streptomyces griseus,0,fredericamycin A
Streptomyces roseofulvus,0,frenolicin B
Streptomyces griseoflavus,0,gilvocarcin V
Streptomyces violaceoruber,0,granaticin
Streptomyces violaceoruber,0,granaticin
Streptomyces lusitanus,0,grincamycin
Streptomyces sp. JP95,0,griseorhodin A
Streptomyces griseus,0,griseusin
Streptomyces sp. 2238-SVT4,0,hatomarubigin A
Streptomyces sp. 2238-SVT4,1,hatomarubigin B
Streptomyces sp. 2238-SVT4,2,hatomarubigin C
Streptomyces sp. 2238-SVT4,3,hatomarubigin D
Streptomyces griseoruber,0,hedamycin
Streptomyces venezuelae ATCC 10712,0,jadomycin
Streptomyces sp. W007,0,kiamycin
Streptomyces murayamaensis,0,kinamycin
Streptomyces sanglieri,0,lactonamycin Z
Streptomyces rishiriensis,0,lactonamycin
Streptomyces cyanogenus,0,landomycin A
Salinispora pacifica,0,lomaiviticin A
Salinispora pacifica,1,lomaiviticin C
Salinispora pacifica,2,lomaiviticin D
Salinispora pacifica,3,lomaiviticin E
Salinispora tropica CNB-440,0,lomaiviticin A
Salinispora tropica CNB-440,1,lomaiviticin C
Salinispora tropica CNB-440,2,lomaiviticin D
Salinispora tropica CNB-440,3,lomaiviticin E
Streptomyces tendae,0,lysolipin I
Streptomyces griseus subsp. griseus,0,macrotetrolide
Streptomyces griseus subsp. griseus,0,macrotetrolide
Streptomyces sp. AM-7161,0,medermycin
Streptomyces argillaceus,0,mithramycin
Streptomyces argillaceus,0,mithramycin
Streptomyces arenae,0,naphtocyclinone
Streptomyces nogalater,0,nogalamycin
Streptomyces griseus subsp. griseus,0,nonactin
Streptomyces antibioticus,0,oviedomycin
Streptomyces rimosus,0,oxytetracycline
Uncultured bacterium,0,pederin
Actinomadura hibisca,0,pradimicin-A
Streptomyces griseoviridis,0,prodigiosin
Serratia sp.,0,prodigiosin
Serratia marcescens,0,prodigiosin
Hahella chejuensis KCTC 2396,0,prodigiosin
Streptomyces sp. R1128,0,R1128
Streptomyces sp. PGA64,0,prejadomycin
Streptomyces sp. PGA64,1,rabelomycin
Streptomyces sp. PGA64,2,gaudimycin C
Streptomyces sp. PGA64,3,gaudimycin D
Streptomyces sp. PGA64,4,UWM6
Streptomyces sp. PGA64,5,gaudimycin A
Streptomyces ravidus,0,ravidomycin
Streptomyces resistomycificus,0,resistomycin
Streptomyces resistomycificus,1,resistoflavine
Streptomyces purpurascens,0,rhodomycin
Streptomyces collinus,0,collinomycin
Micromonospora sp. Tu 6368,0,saquayamycin Z
Streptomyces sp. SCC 2136,0,Sch-47554
Streptomyces sp. SCC 2136,1,Sch-47555
Streptomyces sp. SF2575,0,SF2575
Streptomyces antibioticus,0,simocyclinone D8
Streptomyces avermitilis,0,spore pigment
Streptomyces collinus,0,spore pigment
Streptomyces steffisburgensis,0,steffimycin D
uncultured bacterium,0,tetarimycin A
uncultured bacterium,1,tetarimycin B
Streptomyces glaucescens,0,tetracenomycin C
Streptomyces fradiae,0,urdamycin
Streptomyces fradiae,0,urdamycin
Streptomyces flavogriseus,0,xantholipin
Pseudomonas fluorescens,0,"2,4-diacetylphloroglucinol"
Pseudomonas fluorescens,0,"2,4-diacetylphloroglucinol"
Streptomyces griseus subsp. griseus NBRC 13350,0,alkylresorcinol
Actinomyces sp. Lu 9419,0,cetoniacytone A
Azotobacter vinelandii DJ,0,phenolic lipids
Saccharopolyspora erythraea,0,flaviolin rhamnoside
Saccharopolyspora erythraea,1,"3,3'-diflaviolin"
Saccharopolyspora erythraea,2,flaviolin
Streptomyces sp. KO-3988,0,viguiepinol
Pseudomonas aeruginosa PAO1,0,L-2-amino-4-methoxy-trans-3-butenoic acid
Streptomyces sp. SANK 62799,0,A-503083 A
Streptomyces sp. SANK 62799,1,A-503083 B
Streptomyces sp. SANK 62799,2,A-503083 E
Streptomyces sp. SANK 62799,3,A-503083 F
Nonomuraea gerenzanensis,0,A40926
Streptomyces toyocaensis,0,A-47934
Streptomyces fradiae,0,A54145
Aspergillus terreus NIH2624,0,acetylaranotin
Aspergillus fischeri NRRL 181,0,acetylaszonalenin
Acinetobacter baumannii,0,acinetobactin
Acinetobacter haemolyticus,0,acinetoferrin
Streptomyces anulatus,0,actinomycin D
Planktothrix agardhii NIVA-CYA 126,0,aeruginoside 126B
Planktothrix agardhii NIVA-CYA 126,1,aeruginoside 126A
Microcystis aeruginosa NIES-98,0,aeruginosin 98-A
Microcystis aeruginosa NIES-98,1,aeruginosin 98-B
Microcystis aeruginosa NIES-98,2,aeruginosin 98-C
Pseudoalteromonas piscicida JCM 20779,0,alterochromide A
Pseudoalteromonas piscicida JCM 20779,1,bromoalterochromide A
Pseudoalteromonas piscicida JCM 20779,2,dibromoalterochromide A
Pseudoalteromonas piscicida JCM 20779,3,alterochromide B
Pseudoalteromonas piscicida JCM 20779,4,bromoalterochromide B
Pseudoalteromonas piscicida JCM 20779,5,dibromoalterochromide B
Pseudoalteromonas piscicida JCM 20779,6,alterochromide A'
Pseudoalteromonas piscicida JCM 20779,7,bromoalterochromide A'
Pseudoalteromonas piscicida JCM 20779,8,dibromoalterochromide A'
Pseudoalteromonas piscicida JCM 20779,9,alterochromide B'
Pseudoalteromonas piscicida JCM 20779,10,bromoalterochromide B'
Pseudoalteromonas piscicida JCM 20779,11,dibromoalterochromide B'
Pseudoalteromonas piscicida JCM 20779,12,alterochromide A''
Pseudoalteromonas piscicida JCM 20779,13,bromoalterochromide A''
Pseudoalteromonas piscicida JCM 20779,14,alterochromide B''
Pseudoalteromonas piscicida JCM 20779,15,bromoalterochromide B''
Streptomyces sp. AA4,0,amychelin
Planktothrix agardhii NIVA-CYA 126/8,0,anabaenopeptin 908
Planktothrix agardhii NIVA-CYA 126/8,1,anabaenopeptin 915
Anabaena sp. 90,0,anabaenopeptin
Streptomyces refuineus subsp. thermotolerans,0,anthramycin
Fusarium incarnatum,0,apicidin
Pseudomonas sp. MIS38,0,arthrofactin A
Streptomyces filamentosus NRRL 11379,0,arylomycin
Aureobasidium pullulans,0,AbT1
Staphylococcus aureus subsp. aureus str. JKD6008,0,aureusimine
Bacillus subtilis subsp. subtilis str. 168,0,bacillibactin
Bacillus licheniformis,0,bacitracin
Amycolatopsis balhimycina DSM 5908,0,balhimycin
Beauveria bassiana,0,bassianolide
Beauveria bassiana,0,beauvericin
Pseudoalteromonas piscicida JCM 20779,0,bromoalterochromide A
Streptomyces coelicolor A3(2),0,CDA1b
Streptomyces coelicolor A3(2),1,CDA2a
Streptomyces coelicolor A3(2),2,CDA2b
Streptomyces coelicolor A3(2),3,CDA3a
Streptomyces coelicolor A3(2),4,CDA3b
Streptomyces coelicolor A3(2),5,CDA4a
Streptomyces coelicolor A3(2),6,CDA4b
Saccharothrix mutabilis subsp. capreolus,0,capreomycin IA
Saccharothrix mutabilis subsp. capreolus,1,capreomycin IB
Saccharothrix mutabilis subsp. capreolus,2,capreomycin IIA
Saccharothrix mutabilis subsp. capreolus,3,capreomycin IIB
Acremonium chrysogenum ATCC 11550,0,cephalosporin C
Streptomyces clavuligerus ATCC 27064,0,cephamycin C
Bacillus cereus,0,cereulide
Collariella virescens,0,chaetocin
Pseudomonas cichorii,0,cichofactin A
Pseudomonas cichorii,1,cichofactin B
Streptomyces coelicolor A3(2),0,coelibactin
Streptomyces coelicolor A3(2),0,coelichelin
Streptomyces lavendulae,0,isocomplestatin
Streptomyces ambofaciens ATCC 23877,0,netropsin
Pseudomonas savastanoi pv. glycinea,0,coronatine
Pseudomonas corrugata,0,corpeptin A
Pseudomonas corrugata,1,corpeptin B
Cupriavidus necator H16,0,cupriachelin
Planktothrix agardhii NIVA-CYA 116,0,cyanopeptin
Microcystis sp. NIVA-CYA 172/5,0,cyanopeptolin
Salinispora arenicola CNS-205,0,cyclomarin D
Tolypocladium inflatum NRRL8044,0,cyclosporine
Cystobacter fuscus,0,cystomanamide A
Cystobacter fuscus,1,cystomanamide B
Cystobacter fuscus,2,cystomanamide C
Cystobacter fuscus,3,cystomanamide D
Streptomyces filamentosus NRRL 11379,0,daptomycin
Metarhizium robertsii ARSEF 23,0,destruxin A
Streptomyces lasaliensis,0,echinomycin
Streptomyces sp. LZ35,0,echoside A
Streptomyces sp. LZ35,1,echoside B
Streptomyces sp. LZ35,2,echoside C
Streptomyces sp. LZ35,3,echoside D
Streptomyces sp. LZ35,4,echoside E
Streptomyces fungicidicus,0,enduracidin
Fusarium equiseti,0,enniatin
Pseudomonas sp. J465,0,enterobactin
Pseudomonas entomophila L48,0,entolysin
Streptomyces hygroscopicus,0,eponemycin
Goodfellowiella coeruleoviolacea,0,epoxomicin
Streptococcus equi subsp. equi,0,equibactin
Epichloe festucae var. lolii,0,ergovaline
Saccharopolyspora erythraea NRRL 2338,0,erythrochelin
uncultured organism,0,ET-743
Mycolicibacterium smegmatis,0,exochelin
Acinetobacter sp. ADP1,0,fimsbactin A
Streptomyces sp. MA6548,0,tacrolimus
Actinoplanes friuliensis,0,friulimicin A
Actinoplanes friuliensis,1,friulimicin B
Actinoplanes friuliensis,2,friulimicin C
Actinoplanes friuliensis,3,friulimicin D
Aspergillus fumigatus Af293,0,fumiquinazoline A
Aspergillus fumigatus Af293,1,fumiquinazoline C
Aspergillus fumigatus Af293,2,fumiquinazoline D
Aspergillus fumigatus,0,verruculogen
Aspergillus fumigatus,1,fumitremorgin B
Aspergillus fumigatus,2,fumitremorgin c
Aspergillus fumigatus,3,tryprostatin A
Aspergillus fumigatus,4,tryprostatin B
Aspergillus fumigatus,5,demethoxyfumitremorgin C
Aspergillus fumigatus,6,brevianamide F
Penicillium rubens Wisconsin 54-1255,0,cyclo-(D-Phe-L-Phe-D-Val-L-Val)
Penicillium rubens Wisconsin 54-1255,1,cyclo-(D-Tyr-L-Phe-D-Val-L-Val)
Penicillium rubens Wisconsin 54-1255,2,cyclo-(D-Tyr-L-Trp-D-Val-L-Val)
Penicillium rubens Wisconsin 54-1255,3,cyclo-(D-Phe-L-Trp-D-Val-L-Val)
Penicillium rubens Wisconsin 54-1255,4,cyclo-(D-Phe-L-Phe-D-Val-L-Ile)
Penicillium rubens Wisconsin 54-1255,5,cyclo-(D-Phe-L-Phe-D-Ile-L-Val)
Penicillium rubens Wisconsin 54-1255,6,cyclo-(D-Tyr-L-Trp-D-Val-L-Ile)
Penicillium rubens Wisconsin 54-1255,7,cyclo-(D-Tyr-L-Trp-D-Ile-L-Val)
Penicillium rubens Wisconsin 54-1255,8,cyclo-(D-Tyr-L-Phe-D-Val-L-Ile)
Penicillium rubens Wisconsin 54-1255,9,cyclo-(D-Tyr-L-Phe-D-Ile-L-Val)
Thermobifida fusca YX,0,fuscachelin A
Thermobifida fusca YX,1,fuscachelin B
Thermobifida fusca YX,2,fuscachelin C
Streptomyces sp. L-49973,0,GE81112
Aspergillus fumigatus Af293,0,gliotoxin
Aspergillus fumigatus Af293,1,bisdethiobis(methylthio)gliotoxin
Mycobacterium avium,0,glycopeptidolipid
Mycobacteroides chelonae,0,glycopeptidolipid
Mycobacteroides abscessus,0,glycopeptidolipid
Mycolicibacterium smegmatis MC2 155,0,glycopeptidolipid
Streptomyces sp. NRRL F-4415,0,gobichelin A
Streptomyces sp. NRRL F-4415,1,gobichelin B
Brevibacillus brevis NBRC 100599,0,gramicidin
Streptomyces sp. ATCC 700974,0,streptobactin
Anabaena sp. Syke748,0,hassallidin C
Rhodococcus erythropolis PR4,0,heterobactin A
Rhodococcus erythropolis PR4,1,heterobactin S2
Aspergillus fumigatus Af293,0,hexadehydroastechrome
Aspergillus fumigatus Af293,1,terezine-D
Aspergillus fumigatus Af293,2,astechrome
Streptomyces clavuligerus ATCC 27064,0,holomycin
Streptomyces griseoflavus,0,hormaomycin
Streptomyces griseoflavus,1,hormaomycin A1
Streptomyces griseoflavus,2,hormaomycin A2
Streptomyces griseoflavus,3,hormaomycin A3
Streptomyces griseoflavus,4,hormaomycin A4
Streptomyces griseoflavus,5,hormaomycin A5
Streptomyces griseoflavus,6,hormaomycin A6
Streptomyces chromofuscus,0,indigoidine
Streptomyces sp. Sp080513GE-23,0,JBIR-34
Streptomyces sp. Sp080513GE-23,1,JBIR-35
Bacillus sp. NK2003,0,koranimine
Kutzneria sp. 744,0,kutzneride 2
Streptomyces viridochromogenes,0,glycinocin A
Sorangium cellulosum,0,leupyrrin
Bacillus licheniformis DSM 13 = ATCC 14580,0,lichenysin
Streptomyces toxytricini,0,lipstatin
Photorhabdus laumondii subsp. laumondii TTO1,0,luminmycin A
Lyngbya majuscula,0,lyngbyatoxin
Lysobacter sp. ATCC 53042,0,lysobactin
Burkholderia thailandensis E264,0,malleobactin A
Burkholderia thailandensis E264,1,malleobactin B
Burkholderia thailandensis E264,2,malleobactin C
Burkholderia thailandensis E264,3,malleobactin D
Pseudomonas syringae pv. syringae,0,mangotoxin
Streptomyces hygroscopicus,0,mannopeptimycin
Pseudomonas fluorescens SS101,0,massetolide A
Marinactinospora thermotolerans,0,methylpendolmycin
Marinactinospora thermotolerans,1,pendolmycin
Actinosynnema mirum DSM 43827,0,mirubactin
Myxococcus xanthus DK 1622,0,myxoprincomide-c506
