,,0,chem_acts,chem_moieties,chem_struct,chem_synonyms,chem_targets,compound,database_id,evidence,mass_spec_ion_type,mol_mass,molecular_formula,Unnamed: 0,ncbi_tax_id,organism_name
mibig_json_2.0/BGC0000021.json,0,,,,COC[C@@H](C[C@H]1O[C@@](O)([C@H](O)[C@@H]2C[C@H](OC)[C@@H](O)CC\C=C(/C)\C=C\[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)\C=C(/C)\C=C(/C)\C=C(C)\C(=O)O2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1,,,apoptolidin,"['npatlas:13146', 'pubchem:44403674']",,,1128.644410092,C58H96O21,135,1090954,Nocardiopsis sp. FU 40
mibig_json_2.0/BGC0000022.json,0,,,,CCC(C)C=C(C)C=CC(=O)C1=C2CC(O)C(C)(O)C(=O)C2=CO1,,,asperfuranone,['npatlas:10580'],,,332.162373868,C19H24O5,1683,227321,Aspergillus nidulans FGSC A4
mibig_json_2.0/BGC0000023.json,0,,"['Antifungal', 'Cytotoxic']",,CC(C)C\C=C(/C)[C@H](O)[C@H](C)\C=C\C=C/[C@@H](O)CC1=C(C)C(=O)C(C)(O)O1,,[{'target': 'cholesterol biosynthesis'}],aurafuron A,['npatlas:1119'],,,378.2406241879999,C22H34O5,1673,378806,Stigmatella aurantiaca DW4/3-1
mibig_json_2.0/BGC0000024.json,0,,"['Antibacterial', 'Antifungal', 'Cytotoxic', 'insecticide']","[{'moiety': 'para-nitrobenzoate', 'subcluster': ['CAE02603.1', 'CAE02601.1']}]",CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2,,,aureothin,"['pubchem:6436188', 'chemspider:5029106']",,,397.15253745599995,C22H23NO6,1333,66431,Streptomyces thioluteus
mibig_json_2.0/BGC0000025.json,0,,,,CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\C)C,,,avermectin,['pubchem:6858006'],,,872.492206984,C48H72O14,1057,33903,Streptomyces avermitilis
mibig_json_2.0/BGC0000026.json,0,,['Antibacterial'],"[{'moiety': 'Orsellinic acid', 'subcluster': ['AAK83178.1', 'AAK83194.1']}]",C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)C1C([C@@]([C@H](O9)C)(C(=O)C)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C,"['2,3-deoxy-Flambamycin', 'A-23575', '72000-71-6', 'AC1L3V8O', 'AC1Q5C6R', 'KST-1A7824', 'AR-1A2994', 'LS-89288']",[{'target': '50S ribosomal subunit'}],avilamycin A,"['pubchem:122779', 'chemspider:16735687']",,,1402.463576016,C61H88Cl2O32,944,1160705,Streptomyces viridochromogenes Tue57
mibig_json_2.0/BGC0000026.json,1,,['Antibacterial'],"[{'moiety': 'Orsellinic acid', 'subcluster': ['AAK83178.1', 'AAK83194.1']}]",C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C,"['SCHEMBL6753731', '69787-80-0']",[{'target': '50S ribosomal subunit'}],avilamycin C,"['pubchem:20055307', 'chemspider:16736581']",,,1404.47922608,C61H90Cl2O32,944,1160705,Streptomyces viridochromogenes Tue57
mibig_json_2.0/BGC0000027.json,0,,,,CCCCCCCC(=O)C1C2CC3=C(COC(\C=C\C)=C3)C(=O)C2(C)OC1=O,,,ankaflavin,"['npatlas:5638', 'pubchem:15294091']",,,386.2093240599999,C23H30O5,489,89488,Monascus pilosus
mibig_json_2.0/BGC0000027.json,1,,,,[H]\C(C)=C(\[H])C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(=O)CCCCC)[C@@]1([H])C2,,,monascin,"['npatlas:9686', 'pubchem:12118082']",,,358.17802393200003,C21H26O5,489,89488,Monascus pilosus
mibig_json_2.0/BGC0000027.json,2,,,,CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C,,,rubropunctatine,['npatlas:17529'],,,354.146723804,C21H22O5,489,89488,Monascus pilosus
mibig_json_2.0/BGC0000027.json,3,,,,CCCCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\C=C\C,,,monascorubrin,"['npatlas:2306', 'pubchem:12118084']",,,382.1780239319999,C23H26O5,489,89488,Monascus pilosus
mibig_json_2.0/BGC0000028.json,0,,"['Antibacterial', 'Antifungal', 'antineoplastic, immunosuppressive']",,COC1\C=C\C=C(C)\CC(C)C(O)C(C)\C=C(/C)\C=C(OC)\C(=O)OC1C(C)C(O)C(C)C1(O)CC(OC(=O)\C=C\C(=O)NC2=C(O)CCC2=O)C(C)C(O1)C(C)C,,,bafilomycin B1,['npatlas:2171'],,,815.4455911399999,C44H65NO13,1211,390239,Streptomyces lohii
mibig_json_2.0/BGC0000029.json,0,,['Cytotoxic'],,CCC\C=C\CC1C\C=C\C=C(/C)\C=C\C=C/C(O)C(O)\C=C(/C)\C=C\C=C\C(=O)N1,,,BE-14106,"['npatlas:17806', 'pubchem:6439426']",,,423.277344044,C27H37NO3,1184,639005,Streptomyces sp. DSM 21069
mibig_json_2.0/BGC0000030.json,0,,,,CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C4C(=C3O)C(=O)C=C(C4=O)OC)O)OC,,,bikaverin,['pubchem:5281730'],,,382.0688674079999,C20H14O8,906,1279085,Fusarium fujikuroi IMI 58289
mibig_json_2.0/BGC0000031.json,0,,"['Antibacterial', 'Cytotoxic']",,[H][C@]1(CCC[C@H]1C(O)=O)[C@]1([H])C\C=C\C=C(C#N)/[C@H](O)[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O1,['Treponemycin'],[{'target': 'Threonyl-tRNA synthetase'}],borrelidin,['npatlas:11087'],,,489.30903809599994,C28H43NO6,524,146923,Streptomyces parvulus
mibig_json_2.0/BGC0000032.json,0,,,,[H][C@@](C)(C(=O)C1=CC=CN1)[C@@]1([H])O[C@@]2(CC[C@@H](C)[C@@]([H])(CC3=NC4=C(O3)C=CC(NC)=C4C(O)=O)O2)[C@H](C)C[C@H]1C,,,A23187,['npatlas:3386'],,,523.2682359039999,C29H37N3O6,1375,1079985,Streptomyces chartreusis NRRL 3882
mibig_json_2.0/BGC0000033.json,0,,,,CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\C#C[C@]\4(CC(=O)C(=C3/C4=C\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O,,,calicheamicin,['pubchem:6438329'],,,1367.2742383879997,C55H74IN3O21S4,1015,1877,Micromonospora echinospora
mibig_json_2.0/BGC0000034.json,0,,,,CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O,,,candicidin,['pubchem:6445669'],,,1108.5719138480003,C59H84N2O18,1717,206662,Streptomyces sp. FR-008
mibig_json_2.0/BGC0000035.json,0,,,,CO[C@@H]1C[C@H](C)O[C@H](OC2C(C)CC(C)(O)C(=O)\C=C\C3OC3C(CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)C(C)OC(=O)\C=C\C2C)[C@H]1O,,,chalcomycin A,['npatlas:4454'],,,700.367006472,C35H56O14,1631,1896,Streptomyces bikiniensis
mibig_json_2.0/BGC0000036.json,0,,['Antibacterial'],"[{'moiety': '6-methylsalicylic acid', 'subcluster': ['chlb1', 'chlb2', 'chlb3', 'chlb4', 'chlb5', 'chlb6']}]",C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C(Cl)=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O,['chl'],[{'target': 'Pyruvate biosynthesis'}],chlorothricin,,,,940.3648135520001,C49H61ClO16,300,1890,Streptomyces antibioticus
mibig_json_2.0/BGC0000036.json,1,,['Antibacterial'],,C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O,['deschl'],[{'target': 'Pyruvate biosynthesis'}],deschlorothricin,,,,906.4037859040001,C49H62O16,300,1890,Streptomyces antibioticus
mibig_json_2.0/BGC0000037.json,0,,,,CC1=C(C=C2C(=C1OC)CNC2=O)O,,,cichorine,['pubchem:442849'],,,193.073893212,C10H11NO3,178,227321,Aspergillus nidulans FGSC A4
mibig_json_2.0/BGC0000038.json,0,,,,C/C=C/C(=O)/C/1=C/C(=C\2/C=CCCN2)/SC[CH](C(=O)O1)NC(=O)C,,,coelimycin P1,['chemspider:27475147'],,,348.11437811999997,C17H20N2O4S,1846,100226,Streptomyces coelicolor A3(2)
mibig_json_2.0/BGC0000039.json,0,,,,CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12,,,compactin,"['npatlas:18102', 'pubchem:64715']",,,408.2511888719999,C23H36O6,1505,5077,Penicillium citrinum
mibig_json_2.0/BGC0000040.json,0,,,,[H][C@@]1(OC(=O)\C(OC)=C\C(\C)=C\[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@H](C)C\C(C)=C\C=C\[C@@H]1OC)[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O[C@H]2C[C@@H](O)[C@H](OC(N)=O)[C@@H](C)O2)[C@H](C)[C@H](O1)\C=C\C,,,concanamycin A,"['npatlas:14456', 'pubchem:6917059']",,,865.51875608,C46H75NO14,83,42238,Streptomyces neyagawaensis
mibig_json_2.0/BGC0000041.json,0,,,,[H][C@]12CCC(=O)[C@@]1([H])C[C@@H](CC)C=C2C(O)=O,,,oronofacic acid,['npatlas:13714'],,,208.109944372,C12H16O3,404,317,Pseudomonas syringae
mibig_json_2.0/BGC0000042.json,0,,,,CCCCCCC1CC(=O)CCCC(O)C\C(O)=C2/C(CC(O[C@H]3C[C@H](OC)[C@H](O)[C@@H](C)O3)C2=O)\C=C(/C)\C=C/C=C\C(=O)N1,,,cremimycin,"['npatlas:15915', 'pubchem:6449106']",,,631.3720322759998,C35H53NO9,1485,1321967,Streptomyces sp. MJ635-86F5
mibig_json_2.0/BGC0000043.json,0,,,,CO[C@H](CC\C(C)=C\C=C\CC\C=C/[C@H]1CSC(=N1)[C@@H]1C[C@@H]1C)CC=C,,,curacin A,"['npatlas:3438', 'pubchem:6438908']",,,373.24393574000004,C23H35NOS,1856,276768,Moorea producens 19L
mibig_json_2.0/BGC0000044.json,0,,,,C\C=C/C(/C)=C/C=C/C(/C)=C/C=C/C(/C)=C/C(C)\C=C(/C)C(O)C(C)C(C)OC(C)=O,,,dawenol,['npatlas:16469'],,,426.3133952039999,C28H42O3,1110,378806,Stigmatella aurantiaca DW4/3-1
mibig_json_2.0/BGC0000045.json,0,,,,CC1CCC\C=C\C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1,,,dehydrocurvularin,"['npatlas:4907', 'pubchem:6438143']",,,290.115423676,C16H18O5,1272,33178,Aspergillus terreus
mibig_json_2.0/BGC0000046.json,0,,['Inhibitor'],,C[C@@H](O)[C@@H]1O[C@H]1\C=C\[C@@H]1O[C@H]1[C@H](O)C=C,,[{'target': 'Histone deacetylase (HDAC)'}],depudecin,"['npatlas:1465', 'pubchem:6438725', 'chebi:64143', 'chemspider:21169370']",,,212.104858992,C11H16O4,668,29001,Alternaria brassicicola
mibig_json_2.0/BGC0000047.json,0,,,,C[C@H]1C[C@H](C(=O)CCCC[C@H]([C@H](OC(=O)/C=C/[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)OC)O)C)C)O[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)C)O)OC)OC)C,,,"10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin",['pubchem:102274629'],,,658.3928272960001,C34H58O12,773,201500,Streptomyces sp. KCTC 0041BP
mibig_json_2.0/BGC0000048.json,0,,,,C1[C@@H](O[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O,,,dothistromin,['pubchem:108014'],,,372.0481319639999,C18H12O9,1006,64363,Dothistroma septosporum
mibig_json_2.0/BGC0000050.json,0,,,,C\C=C(/C)C(O)C(C)\C=C\C=C(/C)CCC(O)CC1=C(C)C(=O)C(C)(O)O1,,,E-837,"['npatlas:6280', 'pubchem:11494615']",,,378.2406241879999,C22H34O5,713,270689,Streptomyces aculeolatus
mibig_json_2.0/BGC0000051.json,0,,,,CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O,,,ebelactone A,['pubchem:6436820'],,,338.24570956799994,C20H34O4,722,67265,Kitasatospora aburaviensis
mibig_json_2.0/BGC0000051.json,1,,,,CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C,,,ebelactone B,['pubchem:6436821'],,,352.26135963199994,C21H36O4,722,67265,Kitasatospora aburaviensis
mibig_json_2.0/BGC0000052.json,0,,,,C[C@H](\C=C\CC\C=C\C=C\C=C\C=C\C(=O)NC1=C(O)CCC1=O)C(O)[C@@H](C)C(O)\C=C\C=C\C=C\C=C\C=C\CC(OC1OC(C)C(O)C(O)C1O)C(C)C(=O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CC(O)CC(O)\C=C\CC(O)CC(O)CCCN,,,ECO-02301,"['npatlas:3626', 'pubchem:23724554']",,,1296.7495438560002,C70H108N2O20,1063,255848,Streptomyces aizunensis
mibig_json_2.0/BGC0000053.json,0,,,,CC[C@H]1[C@@H](C[C@](O[C@@H]1C)(O)[C@H]([C@H](O)[C@@H]([C@H]2OC(=O)/C=C/C=C/[C@@H]([C@H](OC(=O)/C=C/C=C/[C@@H]2C)[C@H]([C@@H](O)[C@@H]([C@@]3(O[C@@H]([C@H]([C@@H](C3)O[C@@H]4O[C@H]([C@H]([C@H](C4)O)O)C)CC)C)O)C)C)C)C)C)O[C@@H]5O[C@H]([C@H]([C@H](C5)O)O)C,,,elaiophylin,['pubchem:6444206'],,,1024.5970659760003,C54H88O18,1321,12908,Unknown. Unclassified.
mibig_json_2.0/BGC0000054.json,0,,,,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,,,erythromycin,['pubchem:12560'],,,733.4612412040001,C37H67NO13,1428,2041,Aeromicrobium erythreum
mibig_json_2.0/BGC0000055.json,0,,"['Antibacterial', 'Inhibitor']",,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,"['abomacetin', 'erythromycin']",[{'target': 'Bacterial 70S ribosome'}],erythromycin A,"['pubchem:12560', 'chebi:42355', 'chembl:532', 'chemspider:12041']","['NMR', 'Mass spectrometry', 'X-ray', 'Chemical derivatization', 'Total synthesis']",,733.4612412040001,C37H67NO13,1901,405948,Saccharopolyspora erythraea NRRL 2338
mibig_json_2.0/BGC0000055.json,1,,"['Antibacterial', 'Inhibitor']",,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@H]1C,['berythromycin'],[{'target': 'Bacterial 70S ribosome'}],erythromycin B,"['npatlas:15585', 'pubchem:10702', 'chebi:28196', 'chembl:3220708', 'chemspider:16736538']","['NMR', 'Mass spectrometry', 'Chemical derivatization', 'Total synthesis']",,717.466326584,C37H67NO12,1901,405948,Saccharopolyspora erythraea NRRL 2338
mibig_json_2.0/BGC0000055.json,2,,"['Antibacterial', 'Inhibitor']",,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(O)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@](C)(O)C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O,,[{'target': 'Bacterial 70S ribosome'}],erythromycin C,"['npatlas:9987', 'pubchem:441095', 'chebi:64273', 'chemspider:75735']","['NMR', 'Mass spectrometry']",,719.44559114,C36H65NO13,1901,405948,Saccharopolyspora erythraea NRRL 2338
mibig_json_2.0/BGC0000055.json,3,,"['Antibacterial', 'Inhibitor']",,CC[C@@H]1[C@@H]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)O)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)C,,[{'target': 'Bacterial 70S ribosome'}],erythromycin D,"['pubchem:24755489', 'chebi:28331', 'chemspider:21864912']","['NMR', 'Mass spectrometry']",,703.45067652,C36H65NO12,1901,405948,Saccharopolyspora erythraea NRRL 2338
