,compounds,ncbi_tax_id,organism_name,file
682,"[{'chem_struct': '[H][C@]12OC=C[C@@]1([H])C1=C(O2)C=C(OC)C2=C1OC1=C(C(O)=CC=C1)C2=O', 'compound': 'sterigmatocystin', 'database_id': ['npatlas:5925', 'pubchem:5280389'], 'mol_mass': 324.063388104, 'molecular_formula': 'C18H12O6'}]",138278,Aspergillus ochraceoroseus,mibig_json_2.0/BGC0000011.json
1288,"[{'chem_struct': 'CCC(C)/C=C(\\C)/CCCC(C)/C=C(\\C)/C=C(\\C)/CC(C)C1=C(C(=C(C(=O)O1)C)O)C', 'compound': 'alternapyrone', 'database_id': ['pubchem:57467994'], 'mol_mass': 428.3290452679999, 'molecular_formula': 'C28H44O3'}]",48100,Alternaria solani,mibig_json_2.0/BGC0000012.json
1097,"[{'chem_struct': 'CC1=CC(=CC2=C1C3=CC(=CC(=C3C(=O)O2)O)O)O', 'compound': 'alternariol', 'database_id': ['pubchem:5359485'], 'mol_mass': 258.05282342000004, 'molecular_formula': 'C14H10O5'}]",227321,Aspergillus nidulans FGSC A4,mibig_json_2.0/BGC0000013.json
1871,"[{'chem_struct': 'CC[C@@H]1C(=CC[C@@H](O1)/C(=C/[C@H](C)/C=C/[C@H]2[C@H]([C@@H]2/C=C/[C@H]3[C@@H]([C@H](C[C@H](O3)CC(=O)O)O)O)C)/C)C', 'compound': 'ambruticin', 'database_id': ['pubchem:6918547'], 'mol_mass': 474.2981390639999, 'molecular_formula': 'C28H42O6'}]",56,Sorangium cellulosum,mibig_json_2.0/BGC0000014.json
390,"[{'chem_acts': ['Antifungal'], 'chem_struct': 'C[C@H]1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/[C@@H](C[C@H]2[C@@H]([C@H](C[C@](O2)(C[C@H](C[C@H]([C@@H](CC[C@H](C[C@H](CC(=O)O[C@H]([C@@H]([C@@H]1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O', 'compound': 'amphotericin B', 'database_id': ['pubchem:5386092'], 'mol_mass': 923.4878498760003, 'molecular_formula': 'C47H73NO17'}]",40318,Streptomyces nodosus,mibig_json_2.0/BGC0000016.json
100,"[{'chem_acts': ['Neurotoxic'], 'chem_struct': 'CC(=O)C1=CCC[C@@H]2CC[C@H]1N2', 'chem_targets': [{'target': 'Nicotinic acetylcholine receptor'}], 'compound': 'anatoxin-a', 'database_id': ['pubchem:3034748'], 'mol_mass': 165.1153641, 'molecular_formula': 'C10H15NO'}, {'chem_acts': ['Neurotoxic'], 'chem_struct': 'CCC(=O)C1=CCC[C@@H]2CC[C@H]1N2', 'chem_targets': [{'target': 'Nicotinic acetylcholine receptor'}], 'compound': 'homoanatoxin-a', 'database_id': ['pubchem:126727'], 'mol_mass': 179.131014164, 'molecular_formula': 'C11H17NO'}]",272129,[Oscillatoria] sp. PCC 6506,mibig_json_2.0/BGC0000017.json
1742,"[{'chem_struct': 'CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC', 'compound': 'angolamycin', 'database_id': ['pubchem:6438267'], 'mol_mass': 915.519150004, 'molecular_formula': 'C46H77NO17'}]",42237,Streptomyces eurythermus,mibig_json_2.0/BGC0000018.json
1608,"[{'chem_struct': 'CCC1C(C2C(O2)(/C=C/C(=O)C(CC(C(C(C(CC(=O)O1)O)C)OC3CC(C(C(O3)C)OC4CC(C(C(O4)C)O)(C)O)N(C)C)CC=O)C)C)COC5C(C(C(C(O5)C)O)OC)OC', 'compound': 'angolamycin', 'database_id': ['pubchem:6438267'], 'mol_mass': 915.519150004, 'molecular_formula': 'C46H77NO17'}]",42237,Streptomyces eurythermus,mibig_json_2.0/BGC0000019.json
339,"[{'chem_struct': 'C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)[C@H](C)N(C)C(=O)C)C)\\C)OC)(NC(=O)O2)O', 'compound': 'maytansine', 'database_id': ['pubchem:5281828'], 'mol_mass': 691.2871723520001, 'molecular_formula': 'C34H46ClN3O10'}, {'chem_struct': 'C[C@@H]1[C@@H]2C[C@]([C@@H](/C=C/C=C(/CC3=CC(=C(C(=C3)OC)Cl)N(C(=O)C[C@@H]([C@]4([C@H]1O4)C)OC(=O)C(C)C)C)\\C)OC)(NC(=O)O2)O', 'compound': 'ansamitocin P-3', 'mol_mass': 634.2657086359999, 'molecular_formula': 'C32H43ClN2O9'}]",42198,Actinosynnema pretiosum subsp. auranticum,mibig_json_2.0/BGC0000020.json
135,"[{'chem_struct': 'COC[C@@H](C[C@H]1O[C@@](O)([C@H](O)[C@@H]2C[C@H](OC)[C@@H](O)CC\\C=C(/C)\\C=C\\[C@@H](O[C@@H]3O[C@@H](C)[C@H](OC)[C@@H](O)[C@@H]3O)[C@H](C)\\C=C(/C)\\C=C(/C)\\C=C(C)\\C(=O)O2)[C@H](C)[C@@H](O)[C@H]1C)O[C@H]1C[C@](C)(O)[C@@H](O[C@H]2C[C@@H](OC)[C@H](O)[C@@H](C)O2)[C@H](C)O1', 'compound': 'apoptolidin', 'database_id': ['npatlas:13146', 'pubchem:44403674'], 'mol_mass': 1128.644410092, 'molecular_formula': 'C58H96O21'}]",1090954,Nocardiopsis sp. FU 40,mibig_json_2.0/BGC0000021.json
1683,"[{'chem_struct': 'CCC(C)C=C(C)C=CC(=O)C1=C2CC(O)C(C)(O)C(=O)C2=CO1', 'compound': 'asperfuranone', 'database_id': ['npatlas:10580'], 'mol_mass': 332.162373868, 'molecular_formula': 'C19H24O5'}]",227321,Aspergillus nidulans FGSC A4,mibig_json_2.0/BGC0000022.json
1673,"[{'chem_acts': ['Antifungal', 'Cytotoxic'], 'chem_struct': 'CC(C)C\\C=C(/C)[C@H](O)[C@H](C)\\C=C\\C=C/[C@@H](O)CC1=C(C)C(=O)C(C)(O)O1', 'chem_targets': [{'target': 'cholesterol biosynthesis'}], 'compound': 'aurafuron A', 'database_id': ['npatlas:1119'], 'mol_mass': 378.2406241879999, 'molecular_formula': 'C22H34O5'}]",378806,Stigmatella aurantiaca DW4/3-1,mibig_json_2.0/BGC0000023.json
1333,"[{'chem_acts': ['Antibacterial', 'Antifungal', 'Cytotoxic', 'insecticide'], 'chem_moieties': [{'moiety': 'para-nitrobenzoate', 'subcluster': ['CAE02603.1', 'CAE02601.1']}], 'chem_struct': 'CC1=C(OC(=C(C1=O)C)OC)[C@H]2CC/C(=C/C(=C/C3=CC=C(C=C3)[N+](=O)[O-])/C)/O2', 'compound': 'aureothin', 'database_id': ['pubchem:6436188', 'chemspider:5029106'], 'mol_mass': 397.15253745599995, 'molecular_formula': 'C22H23NO6'}]",66431,Streptomyces thioluteus,mibig_json_2.0/BGC0000024.json
1057,"[{'chem_struct': 'CCC(C)[C@@H]1[C@H](C=C[C@@]2(O1)C[C@@H]3C[C@H](O2)C/C=C(/[C@H]([C@H](/C=C/C=C/4\\CO[C@H]5[C@@]4([C@@H](C=C([C@H]5O)C)C(=O)O3)O)C)O[C@H]6C[C@@H]([C@H]([C@@H](O6)C)O[C@H]7C[C@@H]([C@H]([C@@H](O7)C)O)OC)OC)\\C)C', 'compound': 'avermectin', 'database_id': ['pubchem:6858006'], 'mol_mass': 872.492206984, 'molecular_formula': 'C48H72O14'}]",33903,Streptomyces avermitilis,mibig_json_2.0/BGC0000025.json
944,"[{'chem_acts': ['Antibacterial'], 'chem_moieties': [{'moiety': 'Orsellinic acid', 'subcluster': ['AAK83178.1', 'AAK83194.1']}], 'chem_struct': 'C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)C1C([C@@]([C@H](O9)C)(C(=O)C)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C', 'chem_synonyms': ['2,3-deoxy-Flambamycin', 'A-23575', '72000-71-6', 'AC1L3V8O', 'AC1Q5C6R', 'KST-1A7824', 'AR-1A2994', 'LS-89288'], 'chem_targets': [{'target': '50S ribosomal subunit'}], 'compound': 'avilamycin A', 'database_id': ['pubchem:122779', 'chemspider:16735687'], 'mol_mass': 1402.463576016, 'molecular_formula': 'C61H88Cl2O32'}, {'chem_acts': ['Antibacterial'], 'chem_moieties': [{'moiety': 'Orsellinic acid', 'subcluster': ['AAK83178.1', 'AAK83194.1']}], 'chem_struct': 'C[C@@H]1[C@H]([C@@H](C[C@@H](O1)O[C@@H]2[C@H](OC3(C[C@H]2O)O[C@@H]4[C@H](O[C@H](C[C@]4(O3)C)O[C@@H]5[C@H]([C@@H](O[C@@H]([C@@H]5OC)C)O[C@@H]6[C@H](O[C@H]([C@H]([C@H]6O)OC)O[C@H]7[C@@H]([C@H]8[C@H](CO7)O[C@@]9(O8)[C@H]1[C@H]([C@@]([C@H](O9)C)(C(C)O)O)OCO1)OC(=O)C(C)C)COC)O)C)C)O)OC(=O)C1=C(C(=C(C(=C1OC)Cl)O)Cl)C', 'chem_synonyms': ['SCHEMBL6753731', '69787-80-0'], 'chem_targets': [{'target': '50S ribosomal subunit'}], 'compound': 'avilamycin C', 'database_id': ['pubchem:20055307', 'chemspider:16736581'], 'mol_mass': 1404.47922608, 'molecular_formula': 'C61H90Cl2O32'}]",1160705,Streptomyces viridochromogenes Tue57,mibig_json_2.0/BGC0000026.json
489,"[{'chem_struct': 'CCCCCCCC(=O)C1C2CC3=C(COC(\\C=C\\C)=C3)C(=O)C2(C)OC1=O', 'compound': 'ankaflavin', 'database_id': ['npatlas:5638', 'pubchem:15294091'], 'mol_mass': 386.2093240599999, 'molecular_formula': 'C23H30O5'}, {'chem_struct': '[H]\\C(C)=C(\\[H])C1=CC2=C(CO1)C(=O)[C@]1(C)OC(=O)[C@H](C(=O)CCCCC)[C@@]1([H])C2', 'compound': 'monascin', 'database_id': ['npatlas:9686', 'pubchem:12118082'], 'mol_mass': 358.17802393200003, 'molecular_formula': 'C21H26O5'}, {'chem_struct': 'CCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\\C=C\\C', 'compound': 'rubropunctatine', 'database_id': ['npatlas:17529'], 'mol_mass': 354.146723804, 'molecular_formula': 'C21H22O5'}, {'chem_struct': 'CCCCCCCC(=O)C1=C2C=C3C=C(OC=C3C(=O)[C@]2(C)OC1=O)\\C=C\\C', 'compound': 'monascorubrin', 'database_id': ['npatlas:2306', 'pubchem:12118084'], 'mol_mass': 382.1780239319999, 'molecular_formula': 'C23H26O5'}]",89488,Monascus pilosus,mibig_json_2.0/BGC0000027.json
1211,"[{'chem_acts': ['Antibacterial', 'Antifungal', 'antineoplastic, immunosuppressive'], 'chem_struct': 'COC1\\C=C\\C=C(C)\\CC(C)C(O)C(C)\\C=C(/C)\\C=C(OC)\\C(=O)OC1C(C)C(O)C(C)C1(O)CC(OC(=O)\\C=C\\C(=O)NC2=C(O)CCC2=O)C(C)C(O1)C(C)C', 'compound': 'bafilomycin B1', 'database_id': ['npatlas:2171'], 'mol_mass': 815.4455911399999, 'molecular_formula': 'C44H65NO13'}]",390239,Streptomyces lohii,mibig_json_2.0/BGC0000028.json
1184,"[{'chem_acts': ['Cytotoxic'], 'chem_struct': 'CCC\\C=C\\CC1C\\C=C\\C=C(/C)\\C=C\\C=C/C(O)C(O)\\C=C(/C)\\C=C\\C=C\\C(=O)N1', 'compound': 'BE-14106', 'database_id': ['npatlas:17806', 'pubchem:6439426'], 'mol_mass': 423.277344044, 'molecular_formula': 'C27H37NO3'}]",639005,Streptomyces sp. DSM 21069,mibig_json_2.0/BGC0000029.json
906,"[{'chem_struct': 'CC1=CC(=CC2=C1C(=O)C3=C(O2)C(=C4C(=C3O)C(=O)C=C(C4=O)OC)O)OC', 'compound': 'bikaverin', 'database_id': ['pubchem:5281730'], 'mol_mass': 382.0688674079999, 'molecular_formula': 'C20H14O8'}]",1279085,Fusarium fujikuroi IMI 58289,mibig_json_2.0/BGC0000030.json
524,"[{'chem_acts': ['Antibacterial', 'Cytotoxic'], 'chem_struct': '[H][C@]1(CCC[C@H]1C(O)=O)[C@]1([H])C\\C=C\\C=C(C#N)/[C@H](O)[C@@H](C)C[C@H](C)C[C@H](C)C[C@H](C)[C@@H](O)CC(=O)O1', 'chem_synonyms': ['Treponemycin'], 'chem_targets': [{'target': 'Threonyl-tRNA synthetase'}], 'compound': 'borrelidin', 'database_id': ['npatlas:11087'], 'mol_mass': 489.30903809599994, 'molecular_formula': 'C28H43NO6'}]",146923,Streptomyces parvulus,mibig_json_2.0/BGC0000031.json
1375,"[{'chem_struct': '[H][C@@](C)(C(=O)C1=CC=CN1)[C@@]1([H])O[C@@]2(CC[C@@H](C)[C@@]([H])(CC3=NC4=C(O3)C=CC(NC)=C4C(O)=O)O2)[C@H](C)C[C@H]1C', 'compound': 'A23187', 'database_id': ['npatlas:3386'], 'mol_mass': 523.2682359039999, 'molecular_formula': 'C29H37N3O6'}]",1079985,Streptomyces chartreusis NRRL 3882,mibig_json_2.0/BGC0000032.json
1015,"[{'chem_struct': 'CCN[C@H]1CO[C@H](C[C@@H]1OC)O[C@@H]2[C@H]([C@@H]([C@H](OC2O[C@H]3C#C/C=C\\C#C[C@]\\4(CC(=O)C(=C3/C4=C\\CSSSC)NC(=O)OC)O)C)NO[C@H]5C[C@@H]([C@@H]([C@H](O5)C)SC(=O)C6=C(C(=C(C(=C6OC)OC)O[C@H]7[C@@H]([C@@H]([C@H]([C@@H](O7)C)O)OC)O)I)C)O)O', 'compound': 'calicheamicin', 'database_id': ['pubchem:6438329'], 'mol_mass': 1367.2742383879997, 'molecular_formula': 'C55H74IN3O21S4'}]",1877,Micromonospora echinospora,mibig_json_2.0/BGC0000033.json
1717,"[{'chem_struct': 'CC1/C=C/C=C/C=C/C=C/C=C/C=C/C=C/C(CC(C(C(CC(=O)CC(CC(CC(CC(=O)CCCC(=O)CC(=O)OC1C(C)CC(C)C(CC(=O)C2=CC=C(C=C2)N)O)O)O)O)O)C(=O)O)O)OC3C(C(C(C(O3)C)O)N)O', 'compound': 'candicidin', 'database_id': ['pubchem:6445669'], 'mol_mass': 1108.5719138480003, 'molecular_formula': 'C59H84N2O18'}]",206662,Streptomyces sp. FR-008,mibig_json_2.0/BGC0000034.json
1631,"[{'chem_struct': 'CO[C@@H]1C[C@H](C)O[C@H](OC2C(C)CC(C)(O)C(=O)\\C=C\\C3OC3C(CO[C@@H]3O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]3OC)C(C)OC(=O)\\C=C\\C2C)[C@H]1O', 'compound': 'chalcomycin A', 'database_id': ['npatlas:4454'], 'mol_mass': 700.367006472, 'molecular_formula': 'C35H56O14'}]",1896,Streptomyces bikiniensis,mibig_json_2.0/BGC0000035.json
300,"[{'chem_acts': ['Antibacterial'], 'chem_moieties': [{'moiety': '6-methylsalicylic acid', 'subcluster': ['chlb1', 'chlb2', 'chlb3', 'chlb4', 'chlb5', 'chlb6']}], 'chem_struct': 'C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C(Cl)=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O', 'chem_synonyms': ['chl'], 'chem_targets': [{'target': 'Pyruvate biosynthesis'}], 'compound': 'chlorothricin', 'mol_mass': 940.3648135520001, 'molecular_formula': 'C49H61ClO16'}, {'chem_acts': ['Antibacterial'], 'chem_struct': 'C[C@@H](C(C(O)=O)=C1)C[C@@]2(C(O)=C(O3)C(O2)=O)[C@@H]1C=CCCCC[C@@H]4C=C[C@@]([C@@H](O[C@@H]5C[C@H](O)[C@@H](O[C@H]6O[C@@H](C)[C@H](O)[C@@H](OC(C7=C(C)C=CC=C7OC)=O)C6)[C@@H](C)O5)CCC8)([H])[C@]8([H])[C@@H]4C3=O', 'chem_synonyms': ['deschl'], 'chem_targets': [{'target': 'Pyruvate biosynthesis'}], 'compound': 'deschlorothricin', 'mol_mass': 906.4037859040001, 'molecular_formula': 'C49H62O16'}]",1890,Streptomyces antibioticus,mibig_json_2.0/BGC0000036.json
178,"[{'chem_struct': 'CC1=C(C=C2C(=C1OC)CNC2=O)O', 'compound': 'cichorine', 'database_id': ['pubchem:442849'], 'mol_mass': 193.073893212, 'molecular_formula': 'C10H11NO3'}]",227321,Aspergillus nidulans FGSC A4,mibig_json_2.0/BGC0000037.json
1846,"[{'chem_struct': 'C/C=C/C(=O)/C/1=C/C(=C\\2/C=CCCN2)/SC[CH](C(=O)O1)NC(=O)C', 'compound': 'coelimycin P1', 'database_id': ['chemspider:27475147'], 'mol_mass': 348.11437811999997, 'molecular_formula': 'C17H20N2O4S'}]",100226,Streptomyces coelicolor A3(2),mibig_json_2.0/BGC0000038.json
1505,"[{'chem_struct': 'CC[C@H](C)C(=O)O[C@H]1CCC=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(O)=O)[C@@H]12', 'compound': 'compactin', 'database_id': ['npatlas:18102', 'pubchem:64715'], 'mol_mass': 408.2511888719999, 'molecular_formula': 'C23H36O6'}]",5077,Penicillium citrinum,mibig_json_2.0/BGC0000039.json
83,"[{'chem_struct': '[H][C@@]1(OC(=O)\\C(OC)=C\\C(\\C)=C\\[C@@H](C)[C@@H](O)[C@@H](CC)[C@@H](O)[C@H](C)C\\C(C)=C\\C=C\\[C@@H]1OC)[C@@H](C)[C@@H](O)[C@H](C)[C@@]1(O)C[C@@H](O[C@H]2C[C@@H](O)[C@H](OC(N)=O)[C@@H](C)O2)[C@H](C)[C@H](O1)\\C=C\\C', 'compound': 'concanamycin A', 'database_id': ['npatlas:14456', 'pubchem:6917059'], 'mol_mass': 865.51875608, 'molecular_formula': 'C46H75NO14'}]",42238,Streptomyces neyagawaensis,mibig_json_2.0/BGC0000040.json
404,"[{'chem_struct': '[H][C@]12CCC(=O)[C@@]1([H])C[C@@H](CC)C=C2C(O)=O', 'compound': 'oronofacic acid', 'database_id': ['npatlas:13714'], 'mol_mass': 208.109944372, 'molecular_formula': 'C12H16O3'}]",317,Pseudomonas syringae,mibig_json_2.0/BGC0000041.json
1485,"[{'chem_struct': 'CCCCCCC1CC(=O)CCCC(O)C\\C(O)=C2/C(CC(O[C@H]3C[C@H](OC)[C@H](O)[C@@H](C)O3)C2=O)\\C=C(/C)\\C=C/C=C\\C(=O)N1', 'compound': 'cremimycin', 'database_id': ['npatlas:15915', 'pubchem:6449106'], 'mol_mass': 631.3720322759998, 'molecular_formula': 'C35H53NO9'}]",1321967,Streptomyces sp. MJ635-86F5,mibig_json_2.0/BGC0000042.json
1856,"[{'chem_struct': 'CO[C@H](CC\\C(C)=C\\C=C\\CC\\C=C/[C@H]1CSC(=N1)[C@@H]1C[C@@H]1C)CC=C', 'compound': 'curacin A', 'database_id': ['npatlas:3438', 'pubchem:6438908'], 'mol_mass': 373.24393574000004, 'molecular_formula': 'C23H35NOS'}]",276768,Moorea producens 19L,mibig_json_2.0/BGC0000043.json
1110,"[{'chem_struct': 'C\\C=C/C(/C)=C/C=C/C(/C)=C/C=C/C(/C)=C/C(C)\\C=C(/C)C(O)C(C)C(C)OC(C)=O', 'compound': 'dawenol', 'database_id': ['npatlas:16469'], 'mol_mass': 426.3133952039999, 'molecular_formula': 'C28H42O3'}]",378806,Stigmatella aurantiaca DW4/3-1,mibig_json_2.0/BGC0000044.json
1272,"[{'chem_struct': 'CC1CCC\\C=C\\C(=O)C2=C(O)C=C(O)C=C2CC(=O)O1', 'compound': 'dehydrocurvularin', 'database_id': ['npatlas:4907', 'pubchem:6438143'], 'mol_mass': 290.115423676, 'molecular_formula': 'C16H18O5'}]",33178,Aspergillus terreus,mibig_json_2.0/BGC0000045.json
668,"[{'chem_acts': ['Inhibitor'], 'chem_struct': 'C[C@@H](O)[C@@H]1O[C@H]1\\C=C\\[C@@H]1O[C@H]1[C@H](O)C=C', 'chem_targets': [{'target': 'Histone deacetylase (HDAC)'}], 'compound': 'depudecin', 'database_id': ['npatlas:1465', 'pubchem:6438725', 'chebi:64143', 'chemspider:21169370'], 'mol_mass': 212.104858992, 'molecular_formula': 'C11H16O4'}]",29001,Alternaria brassicicola,mibig_json_2.0/BGC0000046.json
773,"[{'chem_struct': 'C[C@H]1C[C@H](C(=O)CCCC[C@H]([C@H](OC(=O)/C=C/[C@@H]([C@H]1O[C@H]2[C@@H]([C@H](C[C@H](O2)C)OC)O)C)C)O[C@H]3[C@@H]([C@@H]([C@@H]([C@H](O3)C)O)OC)OC)C', 'compound': '10,11-dihydro-8-deoxy-12,13-deepoxy-12,13-dihydrochalcomycin', 'database_id': ['pubchem:102274629'], 'mol_mass': 658.3928272960001, 'molecular_formula': 'C34H58O12'}]",201500,Streptomyces sp. KCTC 0041BP,mibig_json_2.0/BGC0000047.json
1006,"[{'chem_struct': 'C1[C@@H](O[C@H]2[C@@]1(C3=C(O2)C=C4C(=C3O)C(=O)C5=C(C=CC(=C5C4=O)O)O)O)O', 'compound': 'dothistromin', 'database_id': ['pubchem:108014'], 'mol_mass': 372.0481319639999, 'molecular_formula': 'C18H12O9'}]",64363,Dothistroma septosporum,mibig_json_2.0/BGC0000048.json
713,"[{'chem_struct': 'C\\C=C(/C)C(O)C(C)\\C=C\\C=C(/C)CCC(O)CC1=C(C)C(=O)C(C)(O)O1', 'compound': 'E-837', 'database_id': ['npatlas:6280', 'pubchem:11494615'], 'mol_mass': 378.2406241879999, 'molecular_formula': 'C22H34O5'}]",270689,Streptomyces aculeolatus,mibig_json_2.0/BGC0000050.json
722,"[{'chem_struct': 'CC[C@@H](C)[C@H]([C@H](C)C(=O)[C@H](C)/C=C(\\C)/C[C@H](C)[C@H]1[C@@H](C(=O)O1)C)O', 'compound': 'ebelactone A', 'database_id': ['pubchem:6436820'], 'mol_mass': 338.24570956799994, 'molecular_formula': 'C20H34O4'}, {'chem_struct': 'CC[C@H]1[C@@H](OC1=O)[C@@H](C)C/C(=C/[C@@H](C)C(=O)[C@@H](C)[C@@H]([C@H](C)CC)O)/C', 'compound': 'ebelactone B', 'database_id': ['pubchem:6436821'], 'mol_mass': 352.26135963199994, 'molecular_formula': 'C21H36O4'}]",67265,Kitasatospora aburaviensis,mibig_json_2.0/BGC0000051.json
